URL,PLAYER_NAME,Player of the match with the picture,Country that the player of the match belongs to,Runs scored by every batsman,Balls played by every batsman,Strike rate for every batsman,Wickets taken by every bowler,Economy rate for every bowler,which country won the toss,who were the umpires?,who was the match referee
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-new-zealand-37th-match-1144519/full-scorecard,Alex Carey,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/289900/289949.jpg",Australia,"16,8,88,5,21,1,71,23,0,0,0,10,20,8,40,30,14,0,9,12,5,0,2,17","23,15,129,8,26,5,72,19,1,1,1,43,20,51,54,28,1,22,29,4,3,7","69.57,53.33,68.22,62.50,80.77,20.00,98.61,121.05,0.00,0.00,0.00,46.51,40.00,78.43,55.56,50.00,0.00,40.91,41.38,125.00,0.00,28.57","4,0,2,0,2,0,1,2,5,1,1,1,0,0,0","5.10,3.63,4.90,5.83,4.67,7.67,3.57,3.44,2.69,2.33,3.60,3.00,7.00,6.00,4.50","Australia,, elected to ,bat first","Joel Wilson,Richard Illingworth",Richie Richardson
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-new-zealand-41st-match-1144523/full-scorecard,Jonny Bairstow,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/304900/304906.jpg",England,"60,106,24,11,42,11,4,15,16,1,15,8,0,27,28,57,19,3,12,7,7,4,14","61,99,25,12,40,27,11,12,12,1,16,1,40,42,65,27,13,30,16,13,7","98.36,107.07,96.00,91.67,105.00,40.74,36.36,125.00,133.33,100.00,50.00,0.00,67.50,66.67,87.69,70.37,23.08,40.00,43.75,53.85,57.14","1,2,1,2,0,2,1,1,1,3,0,1,1","6.50,5.60,7.78,5.40,11.00,4.10,5.50,2.43,3.50,3.78,5.00,6.00,2.00","England,, elected to ,bat first","Rod Tucker,Sundaram Ravi",David Boon
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/bangladesh-vs-pakistan-43rd-match-1144525/full-scorecard,Shaheen Shah Afridi,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/312100/312180.jpg",Pakistan,"13,100,96,27,6,43,3,2,1,8,0,16,8,22,64,16,32,29,16,0,7,15,1,11","31,100,98,25,6,26,3,4,2,6,0,21,22,77,19,40,41,21,1,6,14,3","41.94,100.00,97.96,108.00,100.00,165.38,100.00,50.00,50.00,133.33,0.00,38.10,100.00,83.12,84.21,80.00,70.73,76.19,0.00,116.67,107.14,33.33","1,3,5,0,0,0,0,1,6,1,0,2","3.00,8.56,7.50,6.57,5.70,6.75,5.33,4.43,3.82,4.71,4.33,6.56","Pakistan,, elected to ,bat first","Michael Gough,Richard Kettleborough",Richie Richardson
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/india-vs-sri-lanka-44th-match-1144526/full-scorecard,Rohit Sharma,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/302300/302374.jpg",India,"10,18,20,3,113,53,29,2,1,15,111,103,34,4,7,6","17,14,21,13,128,68,36,3,1,118,94,41,4,4","58.82,128.57,95.24,23.08,88.28,77.94,80.56,66.67,100.00,94.07,109.57,82.93,100.00,175.00","1,3,1,1,1,1,1,1,0,0","7.30,3.70,5.00,4.00,5.80,8.20,5.88,5.26,3.40,8.50","Sri Lanka,, elected to ,bat first","Ian Gould,Paul Wilson",Chris Broad
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-west-indies-42nd-match-1144524/full-scorecard,Shai Hope,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/305900/305915.1.jpg",West Indies,"7,58,77,39,58,45,14,0,13,5,62,86,31,40,2,6,9,1,25,7,14","18,78,92,31,43,34,4,0,6,78,93,38,32,6,9,16,2,17,5","38.89,74.36,83.70,125.81,134.88,132.35,350.00,0.00,83.33,79.49,92.47,81.58,125.00,33.33,66.67,56.25,50.00,147.06,140.00","0,2,1,0,1,1,0,3,1,0,0,4,1","5.20,8.11,7.00,6.00,5.60,5.20,6.14,3.70,6.14,5.75,8.67,7.00,4.67","West Indies,, elected to ,bat first","Chris Gaffaney,Nigel Llong",Chris Broad
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-bangladesh-31st-match-1144513/full-scorecard,Shakib Al Hasan,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/303100/303157.jpg",Bangladesh,"16,36,51,83,3,27,35,2,9,47,24,11,20,0,49,11,23,2,0,0,13","17,53,69,87,10,38,24,2,75,35,31,38,2,51,12,23,3,8,4","94.12,67.92,73.91,95.40,30.00,71.05,145.83,100.00,62.67,68.57,35.48,52.63,0.00,96.08,91.67,100.00,66.67,0.00,0.00","3,1,1,2,0,0,0,2,1,5,0,1","3.90,7.11,4.40,5.60,5.20,7.00,5.29,4.00,4.13,2.90,4.63,4.17","Afghanistan,, elected to ,field first","Michael Gough,Richard Kettleborough",Richie Richardson
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-sri-lanka-27th-match-1144509/full-scorecard,Lasith Malinga,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/305000/305097.jpg",Sri Lanka,"1,2,49,46,85,0,29,2,6,1,1,10,14,0,57,21,82,10,16,2,1,3,0,6","8,6,39,68,115,1,47,6,4,5,1,18,1,89,35,89,9,20,4,2,11,4","12.50,33.33,125.64,67.65,73.91,0.00,61.70,33.33,150.00,20.00,100.00,77.78,0.00,64.04,60.00,92.13,111.11,80.00,50.00,50.00,27.27,0.00","1,3,3,0,0,2,0,4,1,3,0,2,0","4.40,5.20,5.00,3.20,4.00,4.50,6.50,4.30,3.80,4.00,4.25,5.13,7.67","Sri Lanka,, elected to ,bat first","Marais Erasmus,Paul Wilson",Richie Richardson
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/south-africa-vs-sri-lanka-35th-match-1144517/full-scorecard,Dwaine Pretorius,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/263700/263781.1.jpg",South Africa,"0,30,30,23,11,24,18,21,17,5,4,20,15,80,96,15","1,34,29,51,29,41,46,25,32,7,2,16,105,103","0.00,88.24,103.45,45.10,37.93,58.54,39.13,84.00,53.13,71.43,200.00,93.75,76.19,93.20","2,3,3,1,0,1,1,0,0,0,0,0","3.60,4.84,2.50,4.75,3.60,7.50,4.70,4.50,7.83,5.25,5.14,5.80","South Africa,, elected to ,field first","Rod Tucker,Sundaram Ravi",David Boon
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-south-africa-45th-match-1144527/full-scorecard,Faf du Plessis,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/263700/263773.1.jpg",South Africa,"34,52,100,95,14,2,4,24,122,3,18,7,22,12,85,9,16,11,3,7","37,51,94,97,13,5,3,117,4,14,6,34,20,69,15,11,6,3","91.89,101.96,106.38,97.94,107.69,40.00,133.33,104.27,75.00,128.57,116.67,64.71,60.00,123.19,60.00,145.45,183.33,100.00","2,1,2,1,0,0,0,1,3,2,1,0,2,0","6.56,6.88,5.30,7.33,5.00,6.33,5.70,6.56,5.60,4.50,7.00,6.89,7.76,5.50","South Africa,, elected to ,bat first","Aleem Dar,Kumar Dharmasena",Ranjan Madugalle
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/new-zealand-vs-west-indies-29th-match-1144511/full-scorecard,Kane Williamson,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/303600/303652.png",New Zealand,"0,0,148,69,12,28,16,10,0,8,87,1,1,54,0,101,1,0,14,15,0,12","1,1,154,95,16,23,6,5,0,84,3,7,45,1,82,8,3,31,26,4","0.00,0.00,96.10,72.63,75.00,121.74,266.67,200.00,0.00,103.57,33.33,14.29,120.00,0.00,123.17,12.50,0.00,45.16,57.69,0.00","4,0,0,0,2,0,1,4,1,3,1,0,1","5.60,3.80,6.00,5.00,9.67,6.11,4.00,3.00,8.44,5.90,5.83,6.10,5.50","West Indies,, elected to ,field first","Ian Gould,Ruchira Palliyaguruge",David Boon
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/bangladesh-vs-india-40th-match-1144522/full-scorecard,Rohit Sharma,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/302300/302374.jpg",India,"77,104,26,48,0,35,8,2,1,0,13,22,33,66,24,22,3,36,51,8,9,0,12","92,92,27,41,2,33,9,3,2,0,31,38,74,23,24,7,36,38,5,11,1","83.70,113.04,96.30,117.07,0.00,106.06,88.89,66.67,50.00,0.00,70.97,86.84,89.19,104.35,91.67,42.86,100.00,134.21,160.00,81.82,0.00","0,0,5,1,0,1,1,1,4,1,1,3","7.20,8.43,5.90,4.10,8.00,6.00,5.50,5.67,5.50,7.56,5.00,6.00","India,, elected to ,bat first","Marais Erasmus,Ruchira Palliyaguruge",Ranjan Madugalle
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-australia-2nd-semi-final-1144529/full-scorecard,Chris Woakes,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/304300/304336.jpg",England,"9,0,85,4,46,0,22,6,29,1,5,16,85,34,49,45,13","11,1,119,12,70,2,23,10,36,4,6,65,43,46,39","81.82,0.00,71.43,33.33,65.71,0.00,95.65,60.00,80.56,25.00,83.33,130.77,79.07,106.52,115.38","3,2,0,1,0,3,0,1,1,0,0,0","2.50,3.20,5.50,5.00,5.50,5.40,4.65,7.78,4.86,9.80,21.00,6.50","Australia,, elected to ,bat first","Kumar Dharmasena,Marais Erasmus",Ranjan Madugalle
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/sri-lanka-vs-west-indies-39th-match-1144521/full-scorecard,Avishka Fernando,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/289600/289652.1.jpg",Sri Lanka,"32,64,104,39,26,45,3,6,19,35,5,5,29,118,26,8,51,7,1,3,27","48,51,103,41,20,33,6,3,48,6,11,38,103,26,15,32,10,6,7","66.67,125.49,100.97,95.12,130.00,136.36,50.00,200.00,72.92,83.33,45.45,76.32,114.56,100.00,53.33,159.38,70.00,16.67,42.86","1,1,0,2,0,1,3,0,0,1,1,0,1","6.90,5.80,9.20,5.90,7.57,5.50,5.50,4.90,6.70,7.60,7.14,7.00,3.00","West Indies,, elected to ,field first","Bruce Oxenford,Paul Reiffel",David Boon
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/india-vs-new-zealand-1st-semi-final-1144528/full-scorecard,Matt Henry,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/303600/303607.jpg",New Zealand,"1,28,67,74,12,16,10,9,1,3,18,1,1,1,32,6,32,50,77,0,5,0,16","14,51,95,90,18,10,11,6,2,3,7,4,6,56,25,62,72,59,1,5,0","7.14,54.90,70.53,82.22,66.67,160.00,90.91,150.00,50.00,100.00,14.29,25.00,16.67,57.14,24.00,51.61,69.44,130.51,0.00,100.00,0.00","3,1,1,1,1,2,3,1,0,1,2","4.30,3.90,5.50,3.40,6.30,4.20,3.70,4.30,6.50,6.53,3.40","New Zealand,, elected to ,bat first","Richard Illingworth,Richard Kettleborough",David Boon
